Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF00635,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",HAR1A,Highly accelerated region 1A/1B,Gene; lncRNA;
RF00636,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",NRON,ncRNA Repressor of NFAT (nuclear factor of activated T cells),Gene;
RF00637,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-276,mir-276 microRNA precursor family,Gene; miRNA;
RF00639,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-515,mir-515 microRNA precursor family,Gene; miRNA;
RF00641,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.88%), Eukaryota:Viridiplantae (0.12%)",mir-154,mir-154 microRNA precursor family,Gene; miRNA;
RF00642,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-23,mir-23 microRNA precursor family,Gene; miRNA;
RF00644,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-27,mir-27 microRNA precursor family,Gene; miRNA;
RF00646,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-204,mir-204 microRNA precursor family,Gene; miRNA;
RF00649,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-128,mir-128 microRNA precursor family,Gene; miRNA;
RF00650,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.68%), Eukaryota:Fungi (0.19%), Eukaryota:Alveolata (0.13%)",mir-153,mir-153 microRNA precursor family,Gene; miRNA;
RF00651,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (99.89%), Eukaryota:Metazoa (99.89%), Viruses (0.11%), Viruses:Herpesviridae (0.11%)",mir-221,mir-221 microRNA precursor family,Gene; miRNA;
RF00653,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-22,mir-22 microRNA precursor family,Gene; miRNA;
RF00654,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-216,mir-216 microRNA precursor family,Gene; miRNA;
RF00655,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-28,mir-28 microRNA precursor family,Gene; miRNA;
RF00656,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-205,mir-205 microRNA precursor family,Gene; miRNA;
RF00657,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-184,mir-184 microRNA precursor family,Gene; miRNA;
RF00658,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-21,mir-21 microRNA precursor family,Gene; miRNA;
RF00659,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-365,mir-365 microRNA precursor family,Gene; miRNA;
RF00660,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-214,mir-214 microRNA precursor family,Gene; miRNA;
RF00661,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-31,mir-31 microRNA precursor family,Gene; miRNA;
RF00662,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-132,mir-132 microRNA precursor family,Gene; miRNA;
RF00663,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-183,mir-183 microRNA precursor family,Gene; miRNA;
RF00664,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-223,mir-223 microRNA precursor family,Gene; miRNA;
RF00665,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (99.65%), Eukaryota:Metazoa (99.65%), Bacteria (0.35%)",mir-290,mir-290 microRNA precursor family,Gene; miRNA;
RF00666,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-32,mir-32 microRNA precursor family,Gene; miRNA;
RF00667,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.45%), Eukaryota:Fungi (0.27%), Eukaryota:Viridiplantae (0.07%)",mir-33,mir-33 microRNA precursor family,Gene; miRNA;
RF00668,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.90%), Eukaryota:Viridiplantae (0.10%)",mir-302,mir-302 microRNA precursor family,Gene; miRNA;
RF00669,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-96,mir-96 microRNA precursor family,Gene; miRNA;
RF00670,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-105,mir-105 microRNA precursor family,Gene; miRNA;
RF00671,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-138,mir-138 microRNA precursor family,Gene; miRNA;
RF00672,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.58%), Eukaryota:Viridiplantae (0.42%)",mir-190,mir-190 microRNA precursor family,Gene; miRNA;
RF00673,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-217,mir-217 microRNA precursor family,Gene; miRNA;
RF00674,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-187,mir-187 microRNA precursor family,Gene; miRNA;
RF00675,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-145,mir-145 microRNA precursor family,Gene; miRNA;
RF00676,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-127,mir-127 microRNA precursor family,Gene; miRNA;
RF00678,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-140,mir-140 microRNA precursor family,Gene; miRNA;
RF00679,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.75%), Eukaryota:Fungi (0.25%)",mir-210,mir-210 microRNA precursor family,Gene; miRNA;
RF00680,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-224,mir-224 microRNA precursor family,Gene; miRNA;
RF00681,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-198,mir-198 microRNA precursor family,Gene; miRNA;
RF00682,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-144,mir-144 microRNA precursor family,Gene; miRNA;
RF00683,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-143,mir-143 microRNA precursor family,Gene; miRNA;
RF00684,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-122,mir-122 microRNA precursor family,Gene; miRNA;
RF00685,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (96.48%), Eukaryota:Fungi (2.01%), Eukaryota:Viridiplantae (1.51%)",mir-36,mir-36 microRNA precursor family,Gene; miRNA;
RF00686,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-338,mir-338 microRNA precursor family,Gene; miRNA;
RF00687,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-136,mir-136 microRNA precursor family,Gene; miRNA;
RF00691,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-146,mir-146 microRNA precursor family,Gene; miRNA;
RF00693,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-147,mir-147 microRNA precursor family,Gene; miRNA;
RF00694,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-137,mir-137 microRNA precursor family,Gene; miRNA;
RF00696,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-203,mir-203 microRNA precursor family,Gene; miRNA;
RF00697,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-186,mir-186 microRNA precursor family,Gene; miRNA;
RF00698,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-489,mir-489 microRNA precursor family,Gene; miRNA;
RF00699,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-134,mir-134 microRNA precursor family,Gene; miRNA;
RF00700,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-375,mir-375 microRNA precursor family,Gene; miRNA;
RF00701,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-126,mir-126 microRNA precursor family,Gene; miRNA;
RF00702,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-182,mir-182 microRNA precursor family,Gene; miRNA;
RF00703,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-139,mir-139 microRNA precursor family,Gene; miRNA;
RF00704,Eukaryota+Viridiplantae,"Eukaryota (100.00%), Eukaryota:Viridiplantae (100.00%)","Eukaryota (100.00%), Eukaryota:Viridiplantae (94.76%), Eukaryota:Metazoa (5.04%)",MIR397,MIR397 microRNA precursor family,Gene; miRNA;
RF00705,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-202,mir-202 microRNA precursor family,Gene; miRNA;
RF00706,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-263,mir-263 microRNA precursor family,Gene; miRNA;
RF00707,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-197,mir-197 microRNA precursor family,Gene; miRNA;
RF00708,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-450,mir-450 microRNA precursor family,Gene; miRNA;
RF00709,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-455,mir-455 microRNA precursor family,Gene; miRNA;
RF00710,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-44,mir-44 microRNA precursor family,Gene; miRNA;
RF00711,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-449,mir-449 microRNA precursor family,Gene; miRNA;
RF00712,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-460,mir-460 microRNA precursor family,Gene; miRNA;
RF00713,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (92.59%), Eukaryota:Viridiplantae (5.56%), Eukaryota:Alveolata (1.85%)",mir-239,mir-239 microRNA precursor family,Gene; miRNA;
RF00715,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-383,mir-383 microRNA precursor family,Gene; miRNA;
RF00716,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-3,mir-3 microRNA precursor family,Gene; miRNA;
RF00717,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-315,mir-315 microRNA precursor family,Gene; miRNA;
RF00718,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-431,mir-431 microRNA precursor family,Gene; miRNA;
RF00719,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-326,mir-326 microRNA precursor family,Gene; miRNA;
RF00720,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-317,mir-317 microRNA precursor family,Gene; miRNA;
RF00721,Eukaryota+Viridiplantae/Eukaryota,"Eukaryota (100.00%), Eukaryota:Viridiplantae (100.00%)","Eukaryota (100.00%), Eukaryota:Viridiplantae (86.84%), Eukaryota:Metazoa (13.16%)",MIR475,MIR475 microRNA precursor family,Gene; miRNA;
RF00722,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-451,mir-451 microRNA precursor family,Gene; miRNA;
RF00723,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-448,mir-448 microRNA precursor family,Gene; miRNA;
RF00724,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-282,mir-282 microRNA precursor family,Gene; miRNA;
RF00725,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-iab-4,mir-iab-4 microRNA precursor family,Gene; miRNA;
RF00726,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.76%), Eukaryota:Alveolata (0.24%)",mir-87,mir-87 microRNA precursor family,Gene; miRNA;
RF00727,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",bantam,bantam microRNA precursor family,Gene; miRNA;
RF00728,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-81,mir-81 microRNA precursor family,Gene; miRNA;
RF00729,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-278,mir-278 microRNA precursor family,Gene; miRNA;
RF00730,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.41%), Eukaryota:Alveolata (0.59%)",mir-277,mir-277 microRNA precursor family,Gene; miRNA;
RF00731,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-155,mir-155 microRNA precursor family,Gene; miRNA;
RF00732,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-305,mir-305 microRNA precursor family,Gene; miRNA;
RF00733,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-296,mir-296 microRNA precursor family,Gene; miRNA;
RF00734,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-52,mir-52 microRNA precursor family,Gene; miRNA;
RF00735,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-367,mir-367 microRNA precursor family,Gene; miRNA;
RF00736,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-320,mir-320 microRNA precursor family,Gene; miRNA;
RF00737,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-322,mir-322 microRNA precursor family,Gene; miRNA;
RF00740,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-370,mir-370 microRNA precursor family,Gene; miRNA;
RF00741,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-378,mir-378 microRNA precursor family,Gene; miRNA;
RF00743,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-308,mir-308 microRNA precursor family,Gene; miRNA;
RF00744,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-361,mir-361 microRNA precursor family,Gene; miRNA;
RF00745,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-499,mir-499 microRNA precursor family,Gene; miRNA;
RF00746,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-454,mir-454 microRNA precursor family,Gene; miRNA;
RF00747,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (93.88%), Eukaryota:Viridiplantae (6.12%)",mir-283,mir-283 microRNA precursor family,Gene; miRNA;
RF00748,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-433,mir-433 microRNA precursor family,Gene; miRNA;
RF00749,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.82%), Eukaryota:Viridiplantae (0.18%)",mir-208,mir-208 microRNA precursor family,Gene; miRNA;
RF00750,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-458,mir-458 microRNA precursor family,Gene; miRNA;
RF00751,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-12,mir-12 microRNA precursor family,Gene; miRNA;
RF00752,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-14,mir-14 microRNA precursor family,Gene; miRNA;
RF00753,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-503,mir-503 microRNA precursor family,Gene; miRNA;
RF00754,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (98.06%), Eukaryota:Viridiplantae (1.94%)",mir-279,mir-279 microRNA precursor family,Gene; miRNA;
RF00755,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-542,mir-542 microRNA precursor family,Gene; miRNA;
RF00756,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-299,mir-299 microRNA precursor family,Gene; miRNA;
RF00757,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-275,mir-275 microRNA precursor family,Gene; miRNA;
RF00758,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-346,mir-346 microRNA precursor family,Gene; miRNA;
RF00760,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-342,mir-342 microRNA precursor family,Gene; miRNA;
RF00761,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-340,mir-340 microRNA precursor family,Gene; miRNA;
RF00762,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-412,mir-412 microRNA precursor family,Gene; miRNA;
RF00763,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-339,mir-339 microRNA precursor family,Gene; miRNA;
RF00764,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-191,mir-191 microRNA precursor family,Gene; miRNA;
RF00765,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-337,mir-337 microRNA precursor family,Gene; miRNA;
RF00766,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (98.56%), Eukaryota:Fungi (1.44%)",mir-335,mir-335 microRNA precursor family,Gene; miRNA;
RF00767,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-150,mir-150 microRNA precursor family,Gene; miRNA;
RF00769,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-331,mir-331 microRNA precursor family,Gene; miRNA;
RF00770,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-330,mir-330 microRNA precursor family,Gene; miRNA;
RF00771,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-185,mir-185 microRNA precursor family,Gene; miRNA;
RF00772,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-328,mir-328 microRNA precursor family,Gene; miRNA;
RF00773,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-298,mir-298 microRNA precursor family,Gene; miRNA;
RF00774,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-360,mir-360 microRNA precursor family,Gene; miRNA;
RF00775,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-432,mir-432 microRNA precursor family,Gene; miRNA;
